10/10/24 8:27:42: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:11: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:11: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:44: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:44: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:46: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:52: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:57: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:58: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:29:58: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:00: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:01: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:01: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:05: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:07: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:08: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:12: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:22: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:27: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:43: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:52: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:58: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:30:58: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:17: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:19: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:19: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:19: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:20: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:31: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:31: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:32: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:42: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:44: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:31:47: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:32:13: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:32:14: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:32:15: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:32:44: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:32:45: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:33:15: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:33:15: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:33:15: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2317, at column 5
10/10/24 8:33:46: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2351, at column 5
10/10/24 8:33:48: yaotemp.scss - Undefined mixin pc-min: yaotemp.scss on line 2351, at column 5
12/19/24 7:56:35: yaotemp.scss - unclosed block: failed at `` /home/miraidenshi/www/z_yaotemp/wp-content/themes/yaotemp/css/yaotemp.scss on line 2767, at column 0
12/19/24 7:56:40: yaotemp.scss - unclosed block: failed at `` /home/miraidenshi/www/z_yaotemp/wp-content/themes/yaotemp/css/yaotemp.scss on line 2767, at column 0
12/19/24 7:56:44: yaotemp.scss - unclosed block: failed at `` /home/miraidenshi/www/z_yaotemp/wp-content/themes/yaotemp/css/yaotemp.scss on line 2767, at column 0
12/19/24 7:56:45: yaotemp.scss - unclosed block: failed at `` /home/miraidenshi/www/z_yaotemp/wp-content/themes/yaotemp/css/yaotemp.scss on line 2767, at column 0
